X,Y,OBJECTID,PROPNAME,ADDRESS,DIVISION,ADA,GIS_EDT_DT,LATITUDE,LONGITUDE,POINT_X,POINT_Y,PMAID,LOCID,AMWO_ID,RES1,RES2,GLOBALID,GIS_CREATOR,GIS_CRT_DT,GIS_EDITOR,SDQL,zipcode
1251850.24982446,214775.000037313,945,Alki Playground,5817 SW Lander St,South,Yes,2023/11/20 21:00:38+00,47.57789918,-122.4077309,1251850.24997623,214775.00000103,446.0,1049.0,PLAY-ALKIPG,,,{0831A243-2D12-4C3C-8AB6-FAE790BEDB02},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98116
1266925.24985814,242845.29691498,946,B.F. Day Playground,4020 Fremont Ave N,North,Yes,2023/11/20 21:00:38+00,47.65566774,-122.34890554,1266925.24999616,242845.29689154,241.0,2552.0,PLAY-DAYPG,,,{58308839-A7D1-4579-9009-863B6A090BD6},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98103
1256297.0001173,249252.812315136,947,Ballard Playground,2644 NW 60th St,North,Yes,2023/11/20 21:00:38+00,47.6726483,-122.39254848,1256296.99997817,249252.81247029,497.0,1108.0,PLAY-BLPG,,,{4AEE812B-E32D-4ED5-A723-06419CCB4DB7},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98017
1257478.25005139,238886.8123779,948,Bayview Playground,2614 24th Ave W,Central,Yes,2023/11/20 21:00:38+00,47.64430136,-122.38690553,1257478.2500287,238886.8124719,303.0,1110.0,PLAY-BVPG,,,{39D6D3B8-AC69-4D21-B64D-C36954379345},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98199
1263939.37492439,233138.296972066,949,Bayview-Kinnear Park,3rd Ave W / W Prospect St,Central,Yes,2023/11/20 21:00:38+00,47.62889952,-122.36023718,1263939.37499425,233138.29690589,342.0,2374.0,PLAY-KERPK,,,{27EA3F8F-120D-4160-85BC-3DA5BC8DEE5E},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98119
1274756.87494288,217465.937568814,950,Beacon Hill Playground,1902 13th Ave S,South,Yes,2023/11/20 21:00:38+00,47.5865218,-122.31515116,1274756.87499455,217465.93751612,400.0,1074.0,PLAY-BHPG,,,{73ED168D-B0FF-4CD6-A3F9-5BA1053C85ED},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98144
1281932.87502655,192522.624922723,951,Benefit Playground,9320 38th Ave S,South,Yes,2023/11/20 21:00:38+00,47.51852715,-122.28417232,1281932.8750207,192522.62497541,436.0,1077.0,PLAY-BNPG,,,{E16F7ADC-58EE-4206-94EA-806772353A01},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98118
1267018.25000022,233605.06244272,952,Bhy Kracke Park,1200 5th Ave N,Central,Yes,2023/11/20 21:00:38+00,47.63034568,-122.34779047,1267018.25002894,233605.06246616,304.0,1193.0,PLAY-BKPK,,,{F8896932-C3B0-4BDF-B02D-0C925E49A1F0},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98109
1267454.00011297,267553.062459975,953,Bitterlake Playfield,13030 North Park Ave N,North,Yes,2023/11/20 21:00:38+00,47.72341905,-122.34873454,1267454.00002097,267553.06251015,288.0,1113.0,PLAY-BTLKPF,,,{8CBB8325-109F-4BF5-AC5E-173BEEE5AA64},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98133
1282449.49997756,203474.578084394,954,Brighton Playfield,6000 39th Ave S,South,Yes,2023/11/20 21:00:38+00,47.5485732,-122.28291676,1282449.50001659,203474.57812381,402.0,1115.0,PLAY-BGTPF,,,{AE0F403D-AC7C-4A4C-A6C9-6984C5FE9B58},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98118
1283208.62509972,249662.281312481,955,Bryant Playground,4103 NE 65th St,North,Yes,2023/11/20 21:00:38+00,47.67521302,-122.28336719,1283208.62497702,249662.28125446,482.0,1082.0,PLAY-BRYPG,,,{2DD2F391-2E70-4D57-9FC0-421AC0B5B0A5},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98115
1278107.87513064,217644.827959061,956,Colman Playground,1740 23rd Ave S,South,Yes,2023/11/20 21:00:38+00,47.58718821,-122.30158854,1278107.87499961,217644.82809615,406.0,1121.0,PLAY-COLPG,,,{4CF04F46-7425-446C-8D4B-F2161D2AF8AA},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98144
1276048.2499848,248771.265706062,957,Cowen Park,5849 15th Ave NE,North,Yes,2023/11/20 21:00:38+00,47.6723972,-122.3123571,1276048.24999054,248771.26564968,483.0,1279.0,PLAY-COWPK,,,{3D61B408-60C0-4714-A060-67BB43053A0D},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98105
1279165.87498313,253015.03116864,958,Dahl Playfield,7700 25th Ave NE,North,Yes,2023/11/20 21:00:38+00,47.68419286,-122.30003355,1279165.8750069,253015.0312265,499.0,1819.0,PLAY-DAHLPF,,,{E94C69E3-DA98-40D4-8A1F-A99EE7BDD83A},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98115
1264411.12496513,238558.64079015,959,David Rodgers Park,2800 3rd Ave W,Central,Yes,2023/11/20 21:00:38+00,47.64378205,-122.35876007,1264411.12500887,238558.64065799,331.0,1289.0,PLAY-RODPK,,,{D6E61C35-6073-492A-85DA-7EA718E75655},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98119
1279578.24981456,205187.953266561,960,Dearborn Park,2919 S Brandon St,South,Yes,2023/11/20 21:00:38+00,47.5531207,-122.29467281,1279578.24996294,205187.95316289,408.0,1291.0,PLAY-DEARPK,,,{0B514FD9-B6C0-4AE8-B109-247CD2DC6D6F},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98108
1261113.12499948,198351.859327227,961,E.C. Hughes Playground,2805 SW Holden St,South,Yes,2023/11/20 21:00:38+00,47.53339754,-122.36888198,1261113.12496886,198351.85940924,458.0,2534.0,PLAY-ECHPG,,,{B5A6FC95-36ED-4DFB-85C2-6EF15FFC9758},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98106
1279573.12515289,222099.531319976,962,Flo Ware Park,28th Ave S / S Jackson St,Central,Yes,2023/11/20 21:00:38+00,47.59947501,-122.29599513,1279573.12503223,222099.53128618,363.0,1334.0,PLAY-FLWPK,,,{FC33A522-5ABB-418F-8494-CEF8E6EF5246},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98122
1275533.1250308,251766.874872312,963,Froula Playground,7112 12th Ave NE,North,Yes,2023/11/20 21:00:38+00,47.68058094,-122.31468158,1275533.12502119,251766.87497245,287.0,1128.0,PLAY-FRLPG,,,{74B43841-027A-4783-828A-CFCA53944A46},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98115
1278551.6248993,225118.531187475,964,Garfield Playfield,500 23rd Ave,Central,Yes,2023/11/20 21:00:38+00,47.60769677,-122.30036798,1278551.62500519,225118.53122784,353.0,1130.0,PLAY-GARPF,,,{FB59549F-01B2-4A53-A8E2-BFC85698414B},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98122
1272952.24994323,205028.718676895,965,Georgetown Playfield,750 S Homer St,South,Yes,2023/11/20 21:00:38+00,47.55233616,-122.32148798,1272952.24996641,205028.71875672,410.0,2094.0,PLAY-GTPF,,,{14E18519-B77A-4699-A9BE-6C20B5F8A244},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98108
1272341.62518021,251853.593858972,966,Green Lake Park,7201 East Green Lake Dr N,North,Yes,2023/11/20 21:00:38+00,47.68064949,-122.32764197,1272341.62502241,251853.59371612,307.0,1366.0,PLAY-GLKPK,,,{3DA7C81D-CA3B-4908-8971-0E4434C8C4D0},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98103
1257599.25013748,215046.140571147,967,Hiawatha Playfield,2700 California Ave SW,South,Yes,2023/11/20 21:00:38+00,47.57896239,-122.38446554,1257599.24999377,215046.14063895,456.0,1788.0,PLAY-HIPF,,,{626FDAA0-1C69-4D39-9E0A-3E74030E93FF},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98116
1265887.24996564,195898.98431173,968,Highland Park Playground,1100 SW Cloverdale St,South,Yes,2023/11/20 21:00:38+00,47.52693381,-122.34936415,1265887.24998435,195898.984341,457.0,1137.0,PLAY-HLPG,,,{6937AD8B-7913-42C8-A50D-782FF0885263},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98106
1287994.75004189,191065.562548146,969,Hutchinson Playground,5732 S Norfolk St,South,Yes,2023/11/20 21:00:38+00,47.51484395,-122.25953538,1287994.74997447,191065.56248844,439.0,1089.0,PLAY-HUTPG,,,{AD87B8CD-CCD0-45AD-AA34-0F2A1376E96A},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98178
1272811.74989614,221308.531261563,970,International Childrens Park,700 S Lane St,Central,Yes,2023/11/20 21:00:38+00,47.59695131,-122.32333318,1272811.74996352,221308.53124176,364.0,1413.0,PLAY-ICPK,,,{20659C8D-CAED-4142-9EB9-4F286F72D0B2},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98104
1284463.74988605,243953.234331638,971,Laurelhurst Playfield,4544 NE 41st St,North,Yes,2023/11/20 21:00:38+00,47.65962922,-122.27783844,1284463.75000997,243953.23440246,340.0,1142.0,PLAY-LAURPF,,,{4AD15CBE-FEE7-4495-9080-F26963BBDF84},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98105
1269588.62510881,258453.937613636,972,Licton Springs Park,9536 Ashworth Ave N,North,Yes,2023/11/20 21:00:38+00,47.69859366,-122.33934006,1269588.62497476,258453.93750943,286.0,1059.0,PLAY-LICSPK,,,{DCCBE762-8590-4FBA-943A-A45BEFC6085E},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98113
1258490.12499614,253595.812487394,973,Loyal Heights Playfield,2101 NW 77th St,North,Yes,2023/11/20 21:00:38+00,47.6846736,-122.38400376,1258490.12496868,253595.8124668,289.0,1146.0,PLAY-LOYLPF,,,{B6DC3B72-1711-4F26-9905-48219F296AB7},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98117
1284360.75009206,235080.921695724,974,Madison Park,1898 43rd Ave E,Central,Yes,2023/11/20 21:00:38+00,47.63530488,-122.2775807,1284360.74997944,235080.92184153,369.0,1071.0,PLAY-MADPK,,,{68750398-5A90-48B8-AD34-845502A9A726},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98112
1281215.87514822,226366.218652725,975,Madrona Playground,3211 E Spring St,Central,Yes,2023/11/20 21:00:38+00,47.61125539,-122.28966516,1281215.87500566,226366.21876678,371.0,1147.0,PLAY-MDRPG,,,{382C6BFA-A245-42AD-8FFE-290ADA7CA88A},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98122
1254637.50015548,234903.437470645,976,Magnolia Park,1461 Magnolia Blvd W,Central,Yes,2023/11/20 21:00:38+00,47.63322545,-122.39809868,1254637.50000274,234903.43748359,317.0,1478.0,PLAY-MGLPK,,,{E3D424EA-8EDA-4D77-B3D2-8F0577B81A5C},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98199
1265728.1249558,238326.95326139,977,Mayfair Park,2600 2nd Ave N,Central,Yes,2023/11/20 21:00:38+00,47.64321844,-122.35339993,1265728.1249655,238326.95315117,321.0,1530.0,PLAY-MAYFPK,,,{7A1F445B-838D-4414-8989-BF2E32543146},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98109
1281024.84337805,261172.978763476,978,Meadowbrook Playfield,10533 35th Ave NE,North,Yes,2023/11/20 21:00:38+00,47.70517102,-122.29113211,1281503.00001103,260624.12501326,352.0,1107.0,PLAY-MBPF,,,{C08E5673-8463-4EE1-9B01-2AD797A7F549},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98125
1272525.87481172,266708.562508553,979,Northacres Park,12530 3rd Ave NE,North,Yes,2023/11/20 21:00:38+00,47.72137623,-122.32806536,1272525.87496747,266708.56246628,361.0,2232.0,PLAY-NACPK,,,{7752DA0B-1F52-4A74-866D-1714045DB5F8},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98133
1283825.99984922,198991.75010781,980,Othello Playground,4351 S Othello St,South,Yes,2023/11/20 21:00:38+00,47.53635667,-122.27700345,1283826.00000203,198991.75003126,403.0,1933.0,PLAY-OTHPG,,,{AD085E23-30E4-477B-9873-E78806AA73DF},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98118
1280940.37504305,223190.218771145,981,Peppi Playground,3233 E Spruce St,Central,Yes,2023/11/20 21:00:38+00,47.60253568,-122.29053808,1280940.37499481,223190.21876068,378.0,2239.0,PLAY-PEPPG,,,{46EC7620-EFA8-4C54-AB99-02BD6BC2C023},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98122
1278905.75017531,228504.765556723,982,Plum Tree Park,1717 26th Ave,Central,Yes,2023/11/20 21:00:38+00,47.61699691,-122.29919413,1278905.75001849,228504.76562095,387.0,1951.0,PLAY-PLUMPK,,,{FA70DF16-67A8-416F-AAA2-B042D77E998D},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98122
1279627.12504488,223964.203115553,983,Powell Barnett Park,352 M.L. King Jr. Way,Central,Yes,2023/11/20 21:00:38+00,47.60458888,-122.29591993,1279627.12498936,223964.20312624,345.0,1953.0,PLAY-PBARPK,,,{5A8F2E07-1593-45E9-B44F-1C48E6B27E33},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98122
1276653.37508689,222673.109241053,984,Pratt Park,1800 S Main St,Central,Yes,2023/11/20 21:00:38+00,47.60089444,-122.30787185,1276653.37501638,222673.10939002,390.0,2404.0,PLAY-PRTPK,,,{80027B5C-DE17-4FEA-ACFC-18092253E13D},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98122
1284811.7501743,194754.906219304,985,Rainier Beach Playfield,8802 Rainier Ave S,South,Yes,2023/11/20 21:00:38+00,47.52479405,-122.27269276,1284811.75002369,194754.90625435,422.0,1160.0,PLAY-RBPF,,,{3CB76FCA-5CBF-4F66-AF26-8F7ABD145DDF},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98118
1281902.7500868,208612.499895141,986,Rainier Playfield,3700 S Alaska St,South,Yes,2023/11/20 21:00:38+00,47.56262801,-122.28552286,1281902.74998046,208612.49998836,423.0,1162.0,PLAY-RAPF,,,{23CC883E-E732-4BD1-8925-F83F6C55D353},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98118
1272708.75010213,238061.031221062,987,Rogers Playground,2516 Eastlake Ave E,Central,Yes,2023/11/20 21:00:38+00,47.64286402,-122.32506662,1272708.75000976,238061.03124841,380.0,1165.0,PLAY-ROGPG,,,{1D15CE1F-6A7B-4263-B1F4-B1EA5E409464},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98102
1263924.37495439,244557.687519059,988,Ross Playground,4320 4th Ave NW,North,Yes,2023/11/20 21:00:38+00,47.66019865,-122.36121739,1263924.375036,244557.68752143,248.0,1812.0,PLAY-ROSPG,,,{6F2ADBD0-2250-439F-AD5F-25E8EA1725F5},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98107
1259106.00007673,251621.921750143,989,Salmon Bay Park,2001 NW Canoe Pl,North,Yes,2023/11/20 21:00:38+00,47.6792973,-122.38134272,1259105.99996714,251621.92186895,249.0,1599.0,PLAY-SBPK,,,{360DAC50-D6E5-453E-98AF-D80113EE4FED},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98117
1273627.74367097,222770.068692803,990,Yesler Community Center,917 East Yesler Way,Central,Yes,2023/11/20 21:00:38+00,47.60100062,-122.320141,1273627.74359261,222770.06863003,4263.0,2373.0,PLAY-YESCCLGR,,,{A2C00056-98AE-4AA7-AC27-BC5209367755},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98104
1264760.99992156,257485.546833888,991,Sandel Playground,9053 1st Ave NW,North,Yes,2023/11/20 21:00:38+00,47.69567869,-122.35886295,1264761.00003657,257485.54691152,250.0,2493.0,PLAY-SANPG,,,{4DC934C9-6F99-4C20-B797-3E594817687A},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98113
1259512.74991938,257443.875001222,992,Soundview Playfield,1590 NW 90th St,North,Yes,2023/11/20 21:00:38+00,47.69527728,-122.38016688,1259512.75003479,257443.87502156,251.0,1175.0,PLAY-SVPF,,,{B8A22F4A-8492-4F97-9EB2-7D1161C58807},SeattleParks_SeattleCityGIS,2023/11/20 21:00:38+00,SeattleParks_SeattleCityGIS,QL-D3,98117
